coupon_uid,household_key,CAMPAIGN,COUPON_UPC,day_issued,day_expired,day_redeemed,duration,event,classification_1,classification_2,classification_3,HOMEOWNER_DESC,classification_5,classification_4,KID_CATEGORY_DESC
20,1,29,52900041025,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
21,1,29,57455024450,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
22,1,29,57321050050,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
23,1,29,55004910025,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
24,1,29,53748000076,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
25,1,29,53663200076,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
26,1,29,10000085207,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
27,1,29,52100071132,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
28,1,29,51380041313,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
29,1,29,51514110050,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
30,1,29,57047091041,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
31,1,29,51200092776,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
32,1,29,57349171050,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
33,1,29,54850040050,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
34,1,12,57790000032,477,509,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
35,1,12,51800015033,477,509,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
36,1,12,54470031076,477,509,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
37,1,12,51630015176,477,509,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
38,1,12,51600045033,477,509,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
39,1,12,54240020076,477,509,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
40,1,12,52100023024,477,509,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
41,1,12,10000089073,477,509,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
42,1,12,51800000050,477,509,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
43,1,12,53800050033,477,509,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
44,1,12,54300010033,477,509,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
45,1,12,52529311476,477,509,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
46,1,12,10000089075,477,509,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
47,1,12,10000089074,477,509,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
48,1,12,57680000025,477,509,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
49,1,22,51450050050,624,656,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
50,1,22,55150081028,624,656,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
51,1,22,54132220050,624,656,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
52,1,22,57045970076,624,656,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
53,1,22,52100000031,624,656,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
54,1,22,55150081060,624,656,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
55,1,22,54400021032,624,656,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
56,1,22,52113100077,624,656,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
57,1,22,55100090033,624,656,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
58,1,22,54850010033,624,656,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
59,1,22,51800000050,624,656,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
60,1,22,51312010033,624,656,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
61,1,22,52800031032,624,656,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
62,1,22,56233833793,624,656,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
63,1,22,57797520075,624,656,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
64,1,22,54450000076,624,656,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
65,1,22,57100771033,624,656,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
66,1,22,10000089316,624,656,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
67,1,22,10000085486,624,656,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
68,1,22,10000085487,624,656,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
69,1,22,52732670076,624,656,,32.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
70,1,23,54400000032,646,684,,38.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
71,1,23,55200017313,646,684,,38.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
72,1,23,54060060033,646,684,,38.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
73,1,23,55100000033,646,684,,38.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
74,1,23,57027211076,646,684,,38.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
75,1,23,53000000036,646,684,,38.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
76,1,23,55928320070,646,684,,38.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
77,1,23,55420811176,646,684,,38.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
78,1,23,51380040009,646,684,,38.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
79,1,23,50057331082,646,684,,38.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
80,1,23,51200000076,646,684,,38.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
81,1,23,59108312076,646,684,,38.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
82,1,23,54850010033,646,684,,38.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
83,1,23,52840000082,646,684,,38.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
84,1,23,10000085491,646,684,,38.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
85,1,23,50000540082,646,684,,38.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
86,1,23,10000085493,646,684,,38.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
87,1,23,10000085490,646,684,,38.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
88,1,20,54100014076,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
89,1,20,50834600078,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
90,1,20,54589371155,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
91,1,20,54100027032,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
92,1,20,51111122076,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
93,1,20,51111122077,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
94,1,20,57940033055,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
95,1,20,54589371176,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
96,1,20,53620010028,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
97,1,20,51111131075,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
98,1,20,51111131077,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
99,1,20,51111120076,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
100,1,20,51111120078,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
101,1,20,54589399255,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
102,1,20,54589321176,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
103,1,20,54589321177,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
104,1,20,54589353176,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
105,1,20,54589353178,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
106,1,20,54100024032,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
107,1,20,54800110055,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
108,1,20,54589399275,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
109,1,20,54589399277,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
110,1,20,50052110076,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
111,1,20,50052110078,615,685,,70.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
112,3,14,54589320576,531,596,,65.0,0,,,,,,,
113,3,14,54589314177,531,596,,65.0,0,,,,,,,
114,3,14,54589320578,531,596,,65.0,0,,,,,,,
115,3,14,54589371155,531,596,,65.0,0,,,,,,,
116,3,14,54100027032,531,596,,65.0,0,,,,,,,
117,3,14,54800140060,531,596,,65.0,0,,,,,,,
118,3,14,54589371175,531,596,,65.0,0,,,,,,,
119,3,14,53620010028,531,596,,65.0,0,,,,,,,
120,3,14,54100010032,531,596,,65.0,0,,,,,,,
121,3,14,52150000050,531,596,,65.0,0,,,,,,,
122,3,14,10000085433,531,596,,65.0,0,,,,,,,
123,3,14,51111131075,531,596,,65.0,0,,,,,,,
124,3,14,51111131077,531,596,,65.0,0,,,,,,,
125,3,14,51111120076,531,596,,65.0,0,,,,,,,
126,3,14,54589399250,531,596,,65.0,0,,,,,,,
127,3,14,54589353176,531,596,,65.0,0,,,,,,,
128,3,14,54589353178,531,596,,65.0,0,,,,,,,
129,3,14,54100024032,531,596,,65.0,0,,,,,,,
130,3,14,54800110055,531,596,,65.0,0,,,,,,,
131,3,14,54589399275,531,596,,65.0,0,,,,,,,
132,3,14,54589399276,531,596,,65.0,0,,,,,,,
133,3,14,51111124076,531,596,,65.0,0,,,,,,,
134,3,14,54589399278,531,596,,65.0,0,,,,,,,
135,3,14,51111124078,531,596,,65.0,0,,,,,,,
136,3,14,50052110076,531,596,,65.0,0,,,,,,,
137,3,14,54589314175,531,596,,65.0,0,,,,,,,
138,6,7,57482000035,398,432,,34.0,0,,,,,,,
139,6,7,57050100076,398,432,,34.0,0,,,,,,,
140,6,7,53320051055,398,432,,34.0,0,,,,,,,
141,6,7,58087858576,398,432,,34.0,0,,,,,,,
142,6,7,53700060051,398,432,,34.0,0,,,,,,,
143,6,7,53700048051,398,432,,34.0,0,,,,,,,
144,6,7,51111121078,398,432,,34.0,0,,,,,,,
145,6,7,10000085373,398,432,,34.0,0,,,,,,,
146,7,9,52100000033,435,467,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
147,7,9,10000085378,435,467,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
148,7,9,10000085380,435,467,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
149,7,9,52840042077,435,467,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
150,7,9,53160410087,435,467,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
151,7,9,10000089064,435,467,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
152,7,9,55004910025,435,467,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
153,7,9,52550075176,435,467,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
154,7,9,50834620078,435,467,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
155,7,9,51600070033,435,467,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
156,7,9,54300026033,435,467,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
157,7,9,53700060051,435,467,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
158,7,9,53800050033,435,467,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
159,7,9,57064021233,435,467,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
160,7,9,52100061076,435,467,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
161,7,9,54850011033,435,467,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
162,7,9,52580010042,435,467,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
163,7,9,51380041309,435,467,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
164,7,10,54589314178,463,495,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
165,7,10,57109130055,463,495,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
166,7,10,50813700076,463,495,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
167,7,10,10000085370,463,495,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
168,7,10,10000089072,463,495,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
169,7,10,53600000082,463,495,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
170,7,10,51300010013,463,495,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
171,7,10,55220010013,463,495,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
172,7,10,53700048182,463,495,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
173,7,10,57007444182,463,495,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
174,7,10,51500059033,463,495,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
175,7,10,54110030074,463,495,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
176,7,10,50813713084,463,495,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
177,7,10,57410101082,463,495,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
178,7,16,51254600033,561,593,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
179,7,16,53600030082,561,593,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
180,7,16,52270011076,561,593,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
181,7,16,56382410076,561,593,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
182,7,16,10000085482,561,593,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
183,7,16,55310000076,561,593,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
184,7,16,53500000076,561,593,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
185,7,16,53700048076,561,593,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
186,7,16,50099700082,561,593,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
187,7,16,50076613076,561,593,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
188,7,16,57124921076,561,593,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
189,7,16,57418211676,561,593,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
190,7,16,10000085436,561,593,,32.0,0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown
191,8,29,54060060033,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
192,8,29,53000012033,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
193,8,29,50057331076,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
194,8,29,57047095176,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
195,8,29,53000013836,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
196,8,29,54850010009,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
197,8,29,54400000033,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
198,8,29,51200000033,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
199,8,29,57800000033,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
200,8,29,54138310050,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
201,8,29,54300016033,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
202,8,29,55420811176,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
203,8,29,50000540076,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
204,8,29,53377610033,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
205,8,29,57027210033,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
206,8,29,52840000051,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
207,8,29,51380041013,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
208,8,29,54300021057,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
209,8,29,51410010050,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
210,8,29,52900041025,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
211,8,29,57455024450,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
212,8,29,57321050050,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
213,8,29,55004910025,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
214,8,29,53748000076,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
215,8,29,53663200076,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
216,8,29,10000085207,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
217,8,29,52100071132,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
218,8,29,51380041313,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
219,8,29,51514110050,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
220,8,29,57047091041,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
221,8,29,51200092776,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
222,8,29,57349171050,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
223,8,29,54850040050,281,334,,53.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
224,8,4,54420933024,372,404,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
225,8,4,10000089061,372,404,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
226,8,4,54300026150,372,404,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
227,8,4,52277610055,372,404,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
228,8,4,55000081033,372,404,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
229,8,4,51514111050,372,404,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
230,8,4,51111540076,372,404,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
231,8,4,53450050033,372,404,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
232,8,4,54759930033,372,404,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
233,8,4,52800051060,372,404,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
234,8,4,55272918040,372,404,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
235,8,4,10000085371,372,404,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
236,8,5,53600010082,377,411,,34.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
237,8,5,50813700076,377,411,,34.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
238,8,5,56025876174,377,411,,34.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
239,8,5,55000051087,377,411,,34.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
240,8,5,51300010013,377,411,,34.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
241,8,5,55220010013,377,411,,34.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
242,8,5,53700048182,377,411,,34.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
243,8,5,57007440087,377,411,,34.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
244,8,5,58374400087,377,411,,34.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
245,8,5,57410101082,377,411,,34.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
246,8,5,51500050013,377,411,,34.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
247,8,10,54589314178,463,495,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
248,8,10,57109130055,463,495,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
249,8,10,50813700076,463,495,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
250,8,10,10000085370,463,495,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
251,8,10,10000089072,463,495,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
252,8,10,53600000082,463,495,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
253,8,10,51300010013,463,495,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
254,8,10,55220010013,463,495,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
255,8,10,53700048182,463,495,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
256,8,10,57007444182,463,495,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
257,8,10,51500059033,463,495,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
258,8,10,54110030074,463,495,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
259,8,10,50813713084,463,495,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
260,8,10,57410101082,463,495,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
261,8,12,57790000032,477,509,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
262,8,12,51800015033,477,509,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
263,8,12,54470031076,477,509,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
264,8,12,51630015176,477,509,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
265,8,12,51600045033,477,509,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
266,8,12,54240020076,477,509,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
267,8,12,52100023024,477,509,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
268,8,12,10000089073,477,509,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
269,8,12,51800000050,477,509,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
270,8,12,53800050033,477,509,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
271,8,12,54300010033,477,509,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
272,8,12,52529311476,477,509,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
273,8,12,10000089075,477,509,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
274,8,12,10000089074,477,509,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
275,8,12,57680000025,477,509,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
276,8,17,54280011660,575,607,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
277,8,17,54369530009,575,607,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
278,8,17,57045970076,575,607,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
279,8,17,57336970013,575,607,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
280,8,17,54670400033,575,607,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
281,8,17,55100055075,575,607,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
282,8,17,53450058040,575,607,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
283,8,17,53760020032,575,607,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
284,8,17,53620064076,575,607,,32.0,0,Age Group2,Y,Level3,Unknown,Group4,3,1
